,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
550,127.0195833,37.21795,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 황계동,4117312.0,황계동,36321.0,Hwaggye-dong,노변정류장,233000697
551,127.0197,37.2242833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 황계동,9117314.0,황계동입구,36323.0,Hwanggye-dong,노변정류장,233000699
552,127.0197,37.2242833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 황계동,4117314.0,황계동입구,36323.0,Hwanggye-dong,노변정류장,233000699
553,127.01965,37.2182667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 황계동,4117313.0,황계동,36322.0,Hwanggye-dong,노변정류장,233000700
554,127.0318333,37.2068667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 진안동,4130131.0,병점역후문,36339.0,Byeongjeom Station Back Gate,노변정류장,233000701
555,127.0356333,37.2069167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 병점동,4151651.0,병점역사거리,36345.0,Byeongjeomyeok Sageori,노변정류장,233000702
556,127.0344333,37.2083833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 진안동,4170271.0,병점사거리,36753.0,Byeongjeom Sageori,노변정류장,233000703
557,127.03253329999998,37.2106667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 진안동,4100053.0,병점입구.화남아파트.병점육교,36340.0,"Byeongjeom, Hwanam Apartment, Byeongjeom Overpass",노변정류장,233000704
558,127.02446670000002,37.22695,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 반정동,4100055.0,대황교.활주로,36332.0,"Daehwanggyo Bridge, Runway",노변정류장,233000705
559,127.0246667,37.22765,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 반정동,4100054.0,대황교.활주로,36333.0,Daehwanggyo Bridge,노변정류장,233000706
560,127.0328667,37.2106667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 진안동,4100052.0,병점입구.병점육교.화남아파트,36341.0,"Byeongjeom, Byeongjeom Overpass, Hwanam Apartment ",노변정류장,233000707
561,127.0344333,37.2088,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 진안동,4100051.0,동부출장소.병점초등학교,36342.0,"Dongbu Office, Byeongjeom Elementary School",노변정류장,233000708
562,126.9533,37.2432,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102945.0,삼미.쌍용아파트,37324.0,"Sammi, Ssangyong Apartment",노변정류장,233000711
563,126.94741670000002,37.24365,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102943.0,천천리검문소,37316.0,Cheoncheon-ri Check Point,노변정류장,233000712
564,126.94205,37.2445833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102941.0,천천리일광사,37312.0,Cheoncheon-ri Ilkwangsa,노변정류장,233000713
565,126.93671670000002,37.2448167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102939.0,옥산마을,37308.0,Oksan Maeul ,노변정류장,233000714
566,126.9306,37.2462667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102937.0,전승아파트,37304.0,Junseong Apartment ,노변정류장,233000715
567,126.92545,37.2493167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102935.0,원평,37295.0,Wonpyeong,노변정류장,233000716
568,126.9209,37.2508667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4102933.0,51사단,37290.0,51st Division ,노변정류장,233000717
